record_id,kind,occurred_at,actor,thread_id,title,content,status,evidence_count,token_input,token_output,sensitive_only,duplicate_key
evt_00000000,activity,2026-08-01T09:00:00Z,Mina Okafor,thread_00000000,Workflow event 0,Bearer sk-demo-secret-should-be-redacted,open,1,1744,817,true,key_00000000
evt_00000001,correction,2026-08-01T09:11:00Z,Ravi Narayanan,thread_00000000,Workflow event 1,User interrupted the agent and corrected the requested implementation path.,closed,2,906,288,false,key_00000001
evt_00000002,verification_gap,2026-08-01T09:22:00Z,Elena Petrova,thread_00000000,Workflow event 2,PR review requested regression coverage before merge.,in_progress,3,1497,254,false,key_00000002
evt_00000003,context_repetition,2026-08-01T09:33:00Z,Theo Martin,thread_00000000,Workflow event 3,Re-entered the same task context in another working session.,open,4,766,205,false,key_00000003
evt_00000004,agent_steer,2026-08-01T09:44:00Z,Naomi Brooks,thread_00000001,Workflow event 4,Steered the agent toward the repository adapter pattern.,closed,5,1491,395,false,key_00000004
evt_00000005,delivery_risk,2026-08-01T09:55:00Z,Lucas Ferreira,thread_00000001,Workflow event 5,Delivery may slip because an upstream schema changed.,in_progress,6,449,874,false,key_00000005
evt_00000006,activity,2026-08-01T10:06:00Z,Mina Okafor,thread_00000001,Workflow event 6,Reviewed the existing implementation and verified the next change.,open,7,2017,713,false,key_00000006
evt_00000007,correction,2026-08-01T10:17:00Z,Ravi Narayanan,thread_00000001,Workflow event 7,User interrupted the agent and corrected the requested implementation path.,closed,1,820,261,false,key_00000007
evt_00000008,verification_gap,2026-08-01T10:28:00Z,Elena Petrova,thread_00000002,Workflow event 8,PR review requested regression coverage before merge.,in_progress,2,1067,444,false,key_00000008
evt_00000009,context_repetition,2026-08-01T10:39:00Z,Theo Martin,thread_00000002,Workflow event 9,Re-entered the same task context in another working session.,open,3,889,382,false,key_00000009
evt_00000010,agent_steer,2026-08-01T10:50:00Z,Naomi Brooks,thread_00000002,Workflow event 10,Steered the agent toward the repository adapter pattern.,closed,4,965,541,false,key_00000010
evt_00000011,delivery_risk,2026-08-01T11:01:00Z,Lucas Ferreira,thread_00000002,Workflow event 11,Delivery may slip because an upstream schema changed.,in_progress,5,1830,926,false,key_00000011
evt_00000012,activity,2026-08-01T11:12:00Z,Mina Okafor,thread_00000003,Workflow event 12,Reviewed the existing implementation and verified the next change.,open,6,673,296,false,key_00000012
evt_00000013,correction,2026-08-01T11:23:00Z,Ravi Narayanan,thread_00000003,Workflow event 13,User interrupted the agent and corrected the requested implementation path.,closed,7,1324,485,false,key_00000013
evt_00000014,verification_gap,2026-08-01T11:34:00Z,Elena Petrova,thread_00000003,Workflow event 14,PR review requested regression coverage before merge.,in_progress,1,1376,590,false,key_00000014
evt_00000015,context_repetition,2026-08-01T11:45:00Z,Theo Martin,thread_00000003,Workflow event 15,Re-entered the same task context in another working session.,open,2,413,508,false,key_00000015
evt_00000016,agent_steer,2026-08-01T11:56:00Z,Naomi Brooks,thread_00000004,Workflow event 16,Steered the agent toward the repository adapter pattern.,closed,3,1801,569,false,key_00000016
evt_00000017,delivery_risk,2026-08-01T12:07:00Z,Lucas Ferreira,thread_00000004,Workflow event 17,Delivery may slip because an upstream schema changed.,in_progress,4,1620,399,false,key_00000017
evt_00000018,activity,2026-08-01T12:18:00Z,Mina Okafor,thread_00000004,Workflow event 18,Reviewed the existing implementation and verified the next change.,open,5,1755,910,false,key_00000018
evt_00000019,correction,2026-08-01T12:29:00Z,Ravi Narayanan,thread_00000004,Workflow event 19,User interrupted the agent and corrected the requested implementation path.,closed,6,1487,624,false,key_00000019
evt_00000020,verification_gap,2026-08-01T12:40:00Z,Elena Petrova,thread_00000005,Workflow event 20,PR review requested regression coverage before merge.,in_progress,7,1063,335,false,key_00000020
evt_00000021,context_repetition,2026-08-01T12:51:00Z,Theo Martin,thread_00000005,Workflow event 21,Re-entered the same task context in another working session.,open,1,2114,966,false,key_00000021
evt_00000022,agent_steer,2026-08-01T13:02:00Z,Naomi Brooks,thread_00000005,Workflow event 22,Steered the agent toward the repository adapter pattern.,closed,2,1951,875,false,key_00000022
evt_00000023,delivery_risk,2026-08-01T13:13:00Z,Lucas Ferreira,thread_00000005,Workflow event 23,Delivery may slip because an upstream schema changed.,in_progress,3,772,272,false,key_00000023
evt_00000024,activity,2026-08-01T13:24:00Z,Mina Okafor,thread_00000006,Workflow event 24,Reviewed the existing implementation and verified the next change.,open,4,793,206,false,key_00000024
evt_00000025,correction,2026-08-01T13:35:00Z,Ravi Narayanan,thread_00000006,Workflow event 25,User interrupted the agent and corrected the requested implementation path.,closed,5,2023,497,false,key_00000025
evt_00000026,verification_gap,2026-08-01T13:46:00Z,Elena Petrova,thread_00000006,Workflow event 26,PR review requested regression coverage before merge.,in_progress,6,1335,431,false,key_00000026
evt_00000027,context_repetition,2026-08-01T13:57:00Z,Theo Martin,thread_00000006,Workflow event 27,Re-entered the same task context in another working session.,open,7,1423,229,false,key_00000027
evt_00000028,agent_steer,2026-08-01T14:08:00Z,Naomi Brooks,thread_00000007,Workflow event 28,Steered the agent toward the repository adapter pattern.,closed,1,1979,321,false,key_00000028
evt_00000029,delivery_risk,2026-08-01T14:19:00Z,Lucas Ferreira,thread_00000007,Workflow event 29,Delivery may slip because an upstream schema changed.,in_progress,2,1028,254,false,key_00000029
evt_00000030,activity,2026-08-01T14:30:00Z,Mina Okafor,thread_00000007,Workflow event 30,Reviewed the existing implementation and verified the next change.,open,3,976,497,false,key_00000030
evt_00000031,correction,2026-08-01T14:41:00Z,Ravi Narayanan,thread_00000007,Workflow event 31,User interrupted the agent and corrected the requested implementation path.,closed,4,991,369,false,key_00000031
